Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%
Ed Davis,29,43,1,18.3,2.4,3.9,0.619,0.0,0.0,0.0
Treveon Graham,25,7,1,18.1,1.0,5.0,0.2,0.4,3.1,0.136
Shabazz Napier,27,33,1,16.9,2.9,7.1,0.406,1.2,3.3,0.37
Theo Pinson,23,7,0,10.3,1.0,2.9,0.35,0.1,1.6,0.091
Kenneth Faried,29,12,0,9.8,2.1,3.5,0.595,0.1,0.4,0.2
Alan Williams,26,1,0,9.0,3.0,4.0,0.75,0.0,0.0,
Dzanan Musa,19,7,0,3.7,0.9,2.0,0.429,0.0,0.9,0.0
